라차차,41,159
나차아,77,197
나라바,76,195
라라바,45,189
자아타,42,192
카마나,55,190
다하나,76,197
나차카,40,194
마사마,40,196
자라다,67,164
타나카,42,197
파파하,60,153
파가파,69,166
나라사,83,152
라바타,57,167
파차가,87,182
차자카,61,191
가가사,60,189
라파자,41,179
나다가,91,143
파아라,40,146
자카하,56,156
타자아,83,142
다카파,85,154
파바사,56,171
타라가,55,183
바자나,40,174
마사파,86,167
자타파,68,152
카가자,49,150
타라나,54,156
자차아,56,194
자라차,54,149
하자자,85,188
파가가,97,165
카다자,97,197
라차바,99,141
나사카,97,141
다차다,55,193
아타바,60,158
나하아,47,149
가가하,72,191
파하차,73,186
자마라,71,179
파타카,50,155
차자아,98,145
다다카,68,173
카바라,66,145
사카파,67,166
아가차,85,145
차가다,72,144
아자나,60,177
타가자,73,171
파카바,55,151
타가사,42,148
라마사,97,156
카카바,77,144
마자나,57,148
라사바,58,147
타마마,78,177
사다타,76,153
카가다,99,185
카파사,56,177
아차바,96,174
자자라,41,172
카차다,76,153
차아파,50,164
바나바,94,197
다나파,69,149
카파다,93,165
마카가,90,188
마아파,55,198
다바마,47,184
라파하,80,153
카파마,94,192
타타마,77,159
차라사,53,142
아파가,82,165
차타다,83,153
아나사,50,170
카자나,47,147
자카가,44,183
타라다,48,172
바카아,61,144
자가파,97,185
차마라,62,146
마자차,79,145
차사라,66,183
파마차,90,142
차나파,55,164
카하파,88,141
타다바,49,189
나자파,90,160
다타사,66,186
나바바,54,144
아아아,93,158
다나차,85,163
카아다,77,153
다바차,44,140
차바아,60,168
라사타,80,166
하타라,46,158
자라차,65,166
파타바,48,175
아사차,97,196
하타아,81,187
차하마,87,170
가마나,93,146
다나나,57,184
차라마,77,163
가가아,80,190
사나하,79,165
다다카,73,168
바사아,57,143
차아가,83,176
다파마,51,189
바마가,63,168
아바아,57,166
사마마,53,186
타차차,51,175
카타하,54,141
카다바,74,197
바하차,86,165
아바바,91,142
자타다,90,187
아바파,45,178
타카아,53,180
가다타,51,195
바타다,52,183
가하바,92,164
아다자,55,164
바파사,74,175
파차자,81,166
나가아,68,157
아아나,64,175
타라가,63,189
타타다,59,166
자바다,77,148
타사카,40,146
나마차,99,173
라아라,46,153
차가자,98,195
마나자,93,199
파라자,51,179
아파파,50,144
나파자,76,191
가타라,86,152
차바다,56,194
자사바,82,150
다바마,44,154
다라타,45,199
타타카,57,190
아나바,56,148
파바파,90,158
카카사,47,152
차하아,55,194
파자자,95,192
타자타,56,168
카마하,67,190
다차타,91,141
파타파,67,157
사마파,98,147
하사아,67,144
다가마,44,187
타가바,71,185
차아다,86,160
바하파,99,197
차아나,59,143
타다타,67,165
하마나,81,189
바아바,87,154
파아카,96,141
차카아,53,156
타차라,46,195
아나자,42,156
마라카,78,140
나하라,84,183
사다사,74,172
라라마,59,187
마나가,52,197
타아사,59,151
마파다,47,155
파나나,94,154
아마아,85,189
차카가,75,185
차다사,43,187
가파나,51,164
파라자,48,159
바타마,59,150
하차마,96,154
차가아,71,175
파타라,50,174
하아라,50,175
가다파,79,161
하자가,41,184
차나차,91,177
바바하,50,168
파자타,79,166
다파파,63,195
타아마,53,141
자아사,91,168
다나바,76,199
사파타,97,171
마파자,50,160
라파차,95,194
차마파,58,145
차라차,50,185
파아나,54,149
카타카,48,140
차마파,85,189
다라다,89,161
바하하,47,194
바바카,71,183
파나가,74,171
라자마,53,167
차바가,46,192
라카라,88,162
카차자,52,178
자카아,43,169
라아파,90,167
카라나,63,146
마아사,92,158
카나라,53,177
하사타,77,187
하하타,80,142
마가바,86,177
가아아,73,158
타마타,41,196
아타차,42,143
나사파,54,170
차가가,92,175
차자파,79,167
아가다,49,157
차카라,90,189
아타가,64,170
파아라,94,163
아파다,59,191
라하다,70,199
타아가,96,142
